market,tier,lat,lon,inventory_mw,under_construction_mw,planned_mw,preleased_pct,vacancy_pct,power_note,source_url,confidence
Northern Virginia,primary,38.9847,-77.4561,4900,2078,4200,74,0.72,"Dominion 4–7yr power queue; transmission constrained","https://www.cbre.com/insights/local-response/north-america-data-center-trends-h1-2025-market-profiles-northern-virginia",high
Dallas-Fort Worth,primary,32.7767,-96.7970,869,425,1900,78,3.0,"ERCOT capacity tight; new substations 2026+","https://www.cbre.com/insights/local-response/north-america-data-center-trends-h1-2025-market-profiles-dallas-ft-worth",high
Silicon Valley,primary,37.3382,-121.8863,610,310,250,68,4.2,"PG&E moratorium-prone; 19% YoY pricing surge in 10MW+ tier","https://www.cbre.com/press-releases/fast-growing-north-american-data-center-market-set-records-in-2025",medium
Phoenix,primary,33.4484,-112.0740,617,810,1450,74,1.7,"APS/SRP queue lengthening; surpassed Silicon Valley as 4th-largest NA market","https://www.cbre.com/press-releases/phoenix-ranks-fourth-among-north-american-data-center-markets-in-total-data-center-inventory-in-2024",high
Chicago,primary,41.8781,-87.6298,640,540,720,65,3.1,"ComEd capacity available; cluster Elk Grove/Aurora","https://www.cbre.com/insights/briefs/north-america-data-center-trends-h1-2025-ai-and-hyperscaler-demand-lead-to-record-low-vacancy",medium
Atlanta,primary,33.7490,-84.3880,1279,1320,1700,69,3.6,"Georgia Power approved 6.6GW data-center buildout; tripled YoY inventory","https://www.cbre.com/press-releases/atlanta-emerges-as-one-of-north-americas-fastest-growing-data-center-hubs",high
New York-New Jersey,primary,40.7357,-74.1724,490,180,260,71,6.4,"PJM queue; limited NJ greenfield","https://www.cbre.com/insights/briefs/north-america-data-center-trends-h1-2025-ai-and-hyperscaler-demand-lead-to-record-low-vacancy",low
Hillsboro-Portland,secondary,45.5230,-122.9890,470,330,520,76,2.9,"Hydro/wind power; NTT alone +216 MW expansion to 354 MW","https://www.cbre.com/press-releases/fast-growing-north-american-data-center-market-set-records-in-2025",medium
Houston,secondary,29.7604,-95.3698,290,210,420,58,19.7,"ERCOT-South; flood/heat exposure; high vacancy per CBRE H1 2025","https://www.cbre.com/insights/local-response/north-america-data-center-trends-h1-2025-market-profiles-houston",high
Austin-San Antonio,secondary,30.2672,-97.7431,280,462,1100,63,4.1,"ERCOT; rapid hyperscale growth; 462 MW UC per CBRE H1 2025","https://www.cbre.com/insights/local-response/north-america-data-center-trends-h1-2025-market-profiles-austin",high
Seattle,secondary,47.6062,-122.3321,260,170,310,67,3.7,"BPA hydro; record leasing 2 years running","https://www.cbre.com/press-releases/fast-growing-north-american-data-center-market-set-records-in-2025",medium
Reno-Las Vegas,secondary,39.5296,-119.8138,220,280,540,55,4.8,"NV Energy adds; water scarcity; not separately broken out in CBRE primary set","",estimate
Salt Lake City,secondary,40.7608,-111.8910,150,210,360,52,3.9,"Rocky Mountain Power; cool climate edge; not in CBRE primary set","",estimate
Minneapolis,secondary,44.9778,-93.2650,130,90,140,49,7.2,"Xcel queue; cold climate cooling efficiency; not in CBRE primary set","",estimate
Denver,secondary,39.7392,-104.9903,130,160,290,46,5.3,"Xcel constrained; altitude PUE concerns; not in CBRE primary set","",estimate
Charlotte,secondary,35.2271,-80.8431,110,170,300,51,4.4,"Duke Energy queue; NC tax incentives; not in CBRE primary set","",estimate
Boston,secondary,42.3601,-71.0589,110,60,90,73,4.9,"ISO-NE constrained; legacy market; not in CBRE primary set","",estimate
Columbus,emerging,40.0731,-82.7993,260,640,1500,42,2.2,"AEP queue >10GW; New Albany hyperscale cluster (AWS / Google / Meta)","",estimate
Kansas City,emerging,39.0997,-94.5786,90,170,360,38,3.3,"Evergy adds; Meta/Google announced; utility-queue based estimate","",estimate
Indianapolis,emerging,39.7684,-86.1581,60,120,310,33,4.5,"AES Indiana; central US latency edge","",estimate
Nashville,emerging,36.1627,-86.7816,50,90,210,29,5.0,"TVA capacity; Oracle HQ relocation tailwind","",estimate
Central Virginia-Richmond,emerging,37.5407,-77.4360,170,460,890,61,2.8,"NoVA spillover; same Dominion power constraints","",estimate
Memphis,emerging,35.1495,-90.0490,40,290,640,24,4.1,"TVA + MLGW; xAI Colossus 2 GW expansion announced Jan 2026","https://introl.com/blog/xai-colossus-2-gigawatt-expansion-555k-gpus-january-2026",medium
Boise,emerging,43.6150,-116.2023,40,100,220,31,3.6,"Idaho Power; Meta Kuna site","",estimate
Omaha-Council Bluffs,emerging,41.2565,-95.9345,90,230,520,44,2.9,"OPPD/MidAmerican; Meta + Google anchor","",estimate
Cheyenne,emerging,41.1400,-104.8202,60,170,360,35,3.1,"Black Hills Energy; Microsoft anchor; new 3,200-acre site April 2026","https://news.microsoft.com/source/features/sustainability/microsoft-announces-new-data-center-region-in-cheyenne-wyoming/",low
Des Moines,emerging,41.5868,-93.6250,170,220,440,58,2.5,"MidAmerican; Microsoft West DSM cluster","",estimate
